ano,texto,notas,nota_final,pred_C1,pred_C2,pred_C3,pred_C4,pred_C5,nota_final_predita
2018,"Liberdade na Internet

No século XXI, a sociedade está cada vez mais conectada, as notícias circulam com uma velocidade impressionante e vêm atingindo um número cada vez maior de pessoas. Mesmo com toda essa tecnologia, será que os internautas estão cientes de todas as informações disponíveis na Rede? Não! Pois o comportamento deles é manipulado pelo controle de dados da internet.

Nos aplicativos e sites mais visitados, ocorrer uma filtragem de dados a partir das sinalizações daqueles que usaram o sistema. Ou seja, a partir do seu comportamento on--line, um algoritmo vai definir o que é mais adequado para que o usuário veja, isso é feito a partir de pequenas mudanças nas páginas que são expostas para ele. Como consequência disso, acaba ocorrendo a diminuição do acesso à informações relevantes para o conhecimento geral.

Atualmente, 94,2% das pessoas destinam seu acesso à internet para enviar ou receber imagens e mensagens por plataformas diferentes do e-mail. A exemplo disso há o aplicativos Instagram, que é uma rede social em que, além de ver as publicações das pessoas que você segue, é possível visitar a sessão ""explorar"", em que o usuário explora diversas postagens que foram filtradas a partir do perfis e fotos que você visitou ou curtiu. Isso mostra como funciona a manipulação de dados na Rede, pois foram expostas as publicações em que a máquina ""julgou"" como importante. Limitando, assim, o conteúdo exibido e diminuindo a possibilidade de conhecimento de outras áreas dora da ""bolha social"" que o internauta vive

Portanto, é preciso que os sites e os aplicativos, em geral, exibam o conteúdo de forma mais variada possível, permitindo que o usuário tenha acesso às inofrmações dos mais diversos assuntos. Dessa forma, a internet vai se configurar um espaço em que a pessoa é quem possui liberdade de escolha e poder de decisão sobre o que vai ser pesquisado","[120, 120, 160, 160, 160]",720.0,160,200,160,160,160,840
2018,"O compartilhamento de dados na internet é algo muito presente na sociedade brasileira. Devido a isso, diversos usuários são manipulados pela exposição de seus dados nesse meio, pois, muitas vezes, empresas usam esses dados para decidir quais anúncios devem exibir ao usuário.

Embora coisas como testes de personalidade possam parecer ""inofensivas"", grande parte delas vendem informações para empresas de anúncios. Essas empresas podem, sutilmente, exibir anúncios que influenciarão as escolhas e opiniões dos usuários.

Diversos usuários, quando fazem uma busca pela internet, geram dados que, muitas vezes são utilizados para auxiliar suas futuras buscas. Alguns sites pagam para serem indicados com maior frequência nas próximas buscas desses usuários, os induzindo a acessar esse site.

Portanto, deve-se tomar cuidado com tudo que é feito na internet, pois diversos usuários são manipulados pela exposição de seus dados. O governo deve promover palestras e debates para conscientizar a população sobre os riscos de navegar pela internet e como se prevenir deles.","[160, 120, 120, 140, 140]",680.0,160,200,160,160,120,800
2023,"A Constituição Federal de 1988, norma de maior valor jurídico nacional, declara, em seu artigo 5º, que todos os cidadãos são iguais perante a lei, sem distinção de direitos. Entretanto, não é possível observar tal isonomia sendo assegurada no Brasil, haja vista os desafios enfrendatos pelas mulheres no trabalho de cuidade. Logo, faz-se necessário analisar a irracionalidade da população quanto ao assunto e a omissão midiática como os principais imbróglios enfrentados por tais mulheres.

A princípio, conforme o conceito de ""Banalidade do mal"", cunhado pela filósofa Hannah Arendt, quando uma atitude hostil ocorre constantemente, a sociedade passa a vê-la como banal. Dessa modo, isso evidencia a irracionalidade acerca da invisibilização das mulheres, que realizam os trabalhos de cuidado no Brasil, configurando a naturalização da maldade que, para Arendt, acontece quando não não há reflexão dos males ao redor dos indivíduos. Nesse viés, a população normalizou a falta de políticas públicas que asseguram os direitos das mulheres cuidadoreas, como criação do piso salarial para essa profissão além do aumento do investimentp em fiscalização de locais de trabalho que contam com a presença dessas mulheres, como hospitais e casas de cuidado com a terceira idade, a fim de salvaguardar seus direitos trabalhistas, por exemplo, carteira assinada e remuneração regularizada. Consequentemente, muitas brasileiras cuidadoras vivem em situações degradantes, como a presença de  condições laborais precárias que ferem seus direitos como empregadas cidadãs

Ademais, de acordo com o sociólogo Pierre Bourdieu, o que foi criado para ser instrumento de democracia, não deve ser convertido em mecanismo de opressão. Dessa forma, percebe-se que a mídia, ao invés de promover debates que elevem o nível de conhecimento da população acerca da invisibilização do trabalho de cuidados realizados pela mulher, prefere não se posicionar, uma vez que tal ação não está atrelada a fins lucrativos. Sob essa perspectiva, a invisibilidade das mulheres cuidadoras se perpetua, visto que grande parte da população permanece ignorante quanto a atual situação dessas mulheres. Por conseguinte, a violação dos direitos laborais das mulheres que trabalham com cuidado ocorre incessantemente, sobretudo aquelas que vivem em situação de pobreza, como ínfima remuneração, ou, muitas vezes, de uma ausência.

Portanto, o governo federal, órgão do Poder Executivo responsável pela administração pública, deve criar campanhas educativas, no meio físico e no digital. Isso será feito por meio da divulgação de propagandas em panfletos, em televisão e em plataformas de streaming como Instagram e Facebook. Essa medida tem a finalidade de conscientizar a população sobre os impactos da invisibilidade das mulheres que realizam os trabalhos de cuidados no Brasil, findandp com a irracionalidade em relação ao tema e, também, com o silenciamento midiático. Assim, os direitos dessas mulheres, previstos na Lei Magna, serão garantidos.","[180, 200, 200, 200, 200]",980.0,160,200,160,200,200,920
2018,"A internet veio para trazer a informação mais rápida. Com apenas um clique a notícia chega do outro lado do mundo. São milhares de usuários no mundo todo vendo assim o avanço da globalização. Tem acesso à rede de dados põe o indivíduo a par de qualquer assunto do qual tenha interesse.

Contudo o usuário pode fazer pesquisas, aprender novos idiomas, interagir em redes sociais como: Instagram, Twitter, Facebook dentre outras funcionalidades que a internet traz consigo.

No entanto, nas redes sociais também se propagam informações em alta velocidade com o o modo ""compartilhar"", o usuário conta com a plataforma em que se mostra no feed mais conteúdo do qual curtiu. Há também a opção de denunciar conteúdo, já que nas redes sociais é o que mais se propaga conteúdo como: racismo, homofobia, pedofilia e além desses os famigerados ""nudes"".

Diante desse contexto lembramos do caso da atriz ""Carolina Dieckman"", que teve fotos íntimas publicadas na rede onde criou-se a lei que traz consigo o nome da atriz, caracterizando assim o crime de internet.

O governo deve promover políticas nas escolas, com cartazes de orientação, palestras feitas por educadores, panfletos, e no meio social popular propagando nos onibus com cartazese na tu propagandasg, alertando a população dos perigos da internet, mostrando também como a pessoa impulsina as redes sociais a mostrarem conteúdos no feed de notícias, enfim disso pretende-se obter uma população mais conscientizada no meio global e assim podermos viver em sociedade agradável a todos.","[140, 200, 140, 160, 120]",760.0,160,200,160,160,120,800
2022,"No contexto social brasileiro, muito tem sido discutido sobre os empecilhos enfrentados na valorização dos grupos de pessoas que apresentam uma forte relação com a natureza, conhecidas como comunidades tradicionais, já que, na maioria das vezes, eles são tratados com indiferença e vistos como pouco importantes. Dessa forma, é necessário que o poder público atue em conjunto com a sociedade civil com o fito de solucionar uma situação adversa. 

Sob esse viés de desvalorização, de acordo com o artigo 1º da Carta Magna, a dignidade humana está entre os fundamentos da República, aspecto que se relaciona diretamente com a delimitação de terras habitadas por povos tradicionais, uma vez que residem em áreas de florestas ou beiras de rio por possuírem um relacionamento próximo com o meio ambiente. Contudo, muitas vezes, essa condição digna é desrespeitada pela expulsão desses grupos de pessoas das áreas que habitam, que acabam sendo usadas para fins econômicos, como o plantio de soja para atender as demandas do mercado externo. Essa displicência com os direitos das comunidades tradicionais resulta de uma carência de sensibilidade por parte do poder público, que prioriza as finalidades econômicas ao invés da condição humana. Tal cenário reforça o sentimento de indiferença com esses indivíduos e agrava a desvalorização desses povos. 

Ademais, os indígenas, os quilombolas e os outros grupos que interpretam a natureza por meio de uma relação de reciprocidade são responsáveis por diversos costumes e tradições que foram incorporados na sociedade como um todo, dormir de rede e comer tapioca, por exemplo. Porém, ainda existe uma mentalidade deturpada de que muitas comunidades são pouco importantes para o país, pensamento que estimula a carência de valorização desses pessoas, visto que são vistas como irrelevante para a comunidade, na maioria das vezes. Esse panorama se relaciona com uma carência de conhecimento da população sobre a influência dos povos tradicionais, pois, muitas escolas negligenciam o aprendizado sobre esses grupos, abordando somente os indígenas durante a colonização. Assim, enquanto a desinformação for um problema, as comunidades tradicionais ainda serão pouco valorizadas. 

Portanto, com o fito de estimular uma postura de valorização dos povos e comunidades tradicionais no Brasil, urge que o poder público, como responsável pelo bem estar social, cumpra o que está atestado na Constituição, por meio da demarcação das terras ocupadas por esses indivíduos, bem como o desenvolvimento de políticas públicas que afirmem os direitos dessas comunidades. Além disso, é necessário que as instituições formadoras de opinião eduquem a sociedade sobre a importância dos povos tradicionais para o país, mediante palestras realizados por membros desses grupos de pessoas e visitas educativas nessas comunidades. Assim, esses indivíduos serão valorizados no país.","[160, 200, 180, 200, 200]",940.0,160,200,160,200,200,920
2018,"Com a massiva expansão da tecnologia a partir do século XXI, a compra de aparelhos individuais conectados à rede se tornou acessível. Ao passo desse fenômeno, as pessoas passaram a expor dados pessoais dos quais antes tinham total controle sobre, mas que agora, empresas podem obter obtê-los por meio de um sistema chamado ""Big Data"". Dados estes que incluem sites visitados, comportamento em rede entre outros.

Hoje, bilhões de pessoas estão conectados em redes sociais que utilizam desse mesmo sistema de coleta de dados. Ao ingressar numa dessas redes sociais, cede-se informações básicos como nome, e-mail e idade, porém no decorrer do uso, involuntariamente, é cedido o parentescos, as lojas virtuais mais visitadas, sites acessados; tudo isso obtido por meio de logaritmos, que controlam a obtenção das informações do usuário, o qual não tem conhecimento prévio, configurando assim constantes invasões à privacidade do tal.

Esses logaritmos de controle são também capazes de saber qual é a opinião dos pessoas conectados apenas analisando as páginas acessadas, os posts com que o usuário interage, potencializando o poder dos mídias sociais. Mark Zuckerberg, dono de redes como o Facebook e o Whatsapp, já citou que seria capaz de ganhar a corrida presidencial estadunidense apenas controlando as notícias que seriam mostradas aos usuários de cada região, analisando a opinião de cada parte do país, dentre outras estratégias do tipo, provando assim, que a manipulação do comportamento dos usuários além de ser contra os direitos humanos, é um mecanismo de alienação da população.

Baseando-se nos argumentos anteriores, a principal medida a ser tomada é deixar de forma implícita quais informações o usuário está cedendo à plataforma, para que ele fique ciente dos riscos que está correndo, bem como a despotencialização dos logaritmos controladores. Fazendo isso, teremos plataformas mais compromissadas com a transparência e honestidade.","[140, 200, 180, 160, 140]",820.0,160,200,160,160,120,800
2022,"No atual contexto social brasileiro, são evidentes os impasses ao devido reconhecimento da importância dos povos tradicionais do país, fato que afeta negativamente a valorização cultural dessas comunidades. Tal cenário desafiador exige uma atuação mais comprometida do Governo Federal, assim como de setores da sociedade civil, com a finalidade de mitigar essa problemática.

Efetivamente, apesar de todos os cidadãos brasileiros terem a dignidade humana assegurada pelo Artigo 1º da Constituição de 1988, diversas populações tradicionais no Brasil não são devidamente valorizados e, consequentemente, se encontram marginalizados socialmente. Essa conjuctura preocupante se deve, principalmente, ao fatode muitas dessas comunidades não serem sequer reconhecidas pelo Estado brasileiro, como é o caso dos pescadores artesanais dos caatingueiros, panorama que dificulta a inclusão social desses individuos e a garantia dos seus direitos, pois impede a identificação desses povos na sociedade e, assim, a demarcação das suas garantias como grupos tradicionais do Brasil. Desse modo, tal cenário adverso exige um maior comprometimento de setores do poder público a fim de superar esses desafios.
                                                                                                                                                                                                                                                                                                                                                                                                               Ademais, a representação das populações tradicionais nos meios midiáticos fomenta a discriminação social contra elas, pois por muitas vezes, são representadas como barbaras e menos inteligentes, aspectos não aceitos socialmente. A guisa de exemplificação, pode-se citar o filme ""Peter Pan"", no qual os protagonistas são capturados e ameaçados de serem comidos vivos pela população indigena do local, situação que, além de não condizer com a realidade desses grupos, impacta negativamente a visão da sociedade sobre eles, estimulando o preconceito contra esses individuos. Esse contexto preocupante exije uma ação mais contudente de estratos sociais com o objetivo de exaltar a cultura dos povos tradicionais.                                                                                                                                                                                            
                                                                                                                                                                                                                                                                                                                                                                                                               Portanto, com o fito de valorizar a importancia social e cultural das comunidades tradicionais e, assim, garantir o bem estar delas, urge que o Governo Federal reconheça oficialmente todos os grupos brasileiros de tradição, por meio de maiores investimentos em pesquisas que objetivam a indentificação de tais pessoas no País. Urge, também, que as instituições formadoras de opinião, tais como escolas e as mídias sociais, estimulem e divulguem obras que têm como finalidade a exaltação da cultura tradicional brasileira, por meio de campanhas publicitárias veiculadas em plataformas de alto alcance midiático, como o Instagram e o Youtube. Dessa forma, os desafios à valorização da relevância dos povos e das comunidades tradicionais do Brasil poderão ser superados, garantindo, assim a qualidade de vida dessas populações. ","[180, 200, 160, 200, 200]",940.0,160,200,160,200,200,920
2023,"No atual contexto social brasileiro, é evidente a predominância da atuação feminina nas atividades relacionadas ao cuidado, porém tal trabalho essencial à nação não é devidamente valorizado na sociedade, fato que resulta na invisibilidade desse ofício e, consequentemente, da mulher que o realiza. Tal panorama desafiador exije uma atuação mais contudente de setores do Governo Federal, assim como da sociedade civil, em prol de mitigar essa problemática..

Efetivamente, o trabalho de cuidar de pessoas se configura como uma atividade socialmente desvalorizada e associada ao dever da mulher, fato que se enquadra como um impasse à superação do cenário de desigualdade relacionado a essa prática. Esse fato pode ser comprovado, por exemplo, por meio dos dados divulgados pelo IBGE, os quais atestam que a população feminina dedica, em média, 10 horas semanais a mais que a população masculina para as atividades  de cuidado de pessoas. Além disso, a desigualdade de gênero no mercado de trabalho contribui para a quantidade exorbitante de mulheres que se dedicam a cuidar de crianças e idosos sem uma remuneração justa ou, por muitas vezes sem remuneração alguma, pois a população feminina encontra mais desafio na procura de emprego que a população masculina, como a disparidade salarial em relação com os homens, os curtos períodos de licença á maternidade, entre outros impasses que cercam a dignidade da mulher e favorecem a sua adesão ao serviço de cuidado, colocando-a em situação de invisibilidade social. Tal conjuctura adversa vai de encontro com a Constituição Federal de 1988, a qual garante a todos os cidadãos a dignidade humana e a igualdade perante a lei, e, assim, exije uma maior atuação do poder público a fim de minorar essa problemática.

Ademais, os afazeres domésticos e o cuidado de pessoas são atividades frequentemente desvalorizadas pela sociedade e, consequentemente, invisiblizadas dentro dela. À guisa de exemplificação, pode-se citar o ofÍcio das empregadas domesticas que, em sua maioria mulheres, dedicam os seus dias a limpar a casa, lavar as roupas cozinhar, cuidar de bebês e idosos, entre outros trabalhos fundamentais ao funcionamento da sociedade, mas não são justamente remuneradas, geralmente não tem a carteira de tabalho assinada, e, assim não têm o seu trabalho devidamente valorizado. Esse panorama comprometedor atesta os inúmeros desafios existentes ao enfrentamento da invisibilidade das atividades de cuidado no Brasil, realizadas pelas mulheres, e, desse modo, exige uma ação mais comprometida da sociedade para superá-los.
                                                                                                                                                                                                                                                                                                                                                                                                              Portanto, com o fito de valorizar o trabalho de cuidado realizado por mulheres brasileiras e, dessa forma, proporcionar melhores condições de vida a essa parcela populacional, urge  que o Governo Federal aumente a fiscalização do cumprimento social dos preceitos estabelecidos pela Constituição de 1988, por meio de maiores investimentos direcionados aos órgãos responsáveis, assim como maior de canais de denuncia a injustiças sociais, como o disque 180. Urge também que as instituições formadoras de opnião, tais como as mídias sociais e o empresariado, fomentem ações que vivem a valorização que realizam o óficio do cuidado e que incitem a necessidade de maior amparo social e politico a elas, mediante campanhas publicitárias veiculadas no Instagram e no Facebook. Desse modo, os desafios à invisibilidade da atividade de cuidado que mulheres realizam poderão ser superados.. ","[180, 200, 180, 200, 200]",960.0,160,200,160,200,200,920
2022,"O Brasil contemporâneo baseia-se em uma complexa dicotomia: de um lado, tem-se um grupo majoritário submetido a uma ""Modernidade Líquida"", isto é, um ideal classicamente capitalista que, de acordo com o sociólogo Zygmunt Bauman, sobrepõe o individualismo à noção de coletividade e solidariedade. De outro, sobrevivem inúmeras comunidades e povos tradicionais que têm seus modos de vivencia desvalorizados e invalidados pela massa dominante, fato que os força a enfrentarem diversas empeciolhos frente da grave negligência governamental.

De início, observa-se que o Poder Público falha em garantir a equidade de direitos, ou seja, a isonomia, dos indivíduos em questão em relação ao restante da sociedade. Nesse meio, sabe-se que o pensador contratualista Thomas Hobbes, em seu livro ""O Leviatã"", reforça o dever do Estado de organizar as condições sociais de toda a população, retirando-a do ""estado de caos"" para gerar o bem-estar coletivo. Tal princípio, que fundamenta a Constituição de 1988, demonstra um compromisso claro do governo para com o seu povo, panorama esse que não é notório, entretanto, na atual condição das comunidades tradicionais brasileiras, uma vez que a própria existência dessas se encontra em risco. Portanto, ocorre a perpetuação dos desafios encarados por tais grupos em meio a um comportamento inconstitucional do Poder Público.

Ademais, frente à problemática supracitada, configurou-se um profundo preconceito relativo a esses indivíduos. Esse contexto é fruto de um ciclo de ignorância generalizada e reprodução de esteriotipos ofensivos devido à falta de conscientização da população como um todo sobre a diversidade cultural dos povos tradicionais do país. Tem-se como causa dessa situação a manutenção de uma mentalidade neodarwinista no sistema de educação brasileiro, ideologia esta que determina a existência de culturas primitivas e inferiores, que devem ser submisas aos modelos culturais europeus, supostamente superiores e aperfeiçoados. Desse modo, repete-se uma noção de desvalorização das pessoas pertencentes às comunidades minoritárias, perpetuando a banalização de ações de ódio e de violência contra tais indivíduos marginalizados.

Em suma, sabe-se que a precariedade de medidas do Estado para a garantia da isonomia perpetua os desafios enfrentados pelas comunidades e povos tradicionais do Brasil. Levando-se essa condição em consideração, cabe ao poder público, por meio do Ministério da Educação, promover alterações na grade curricular do ensino báscio de modo a conferir o lecionamento de assuntos aprofundados relativos às inúmeras culturas existentes em território nacional. Com isso poder-se- á obter uma quebra nesse panorama de marginalização de grupos minoritários.","[180, 200, 180, 180, 180]",920.0,160,200,160,200,200,920
2018,"Com a gradativa explosão de uma quarta Revolução Industrial, baseado nas mais recentes tecnologias, e desenvolvimento contínuo do capitalismo em sua fase informacional, a sociedade global emerge em uma supervalorização de meios como as redes de internet, nas quais dados se transformam em moedas cambiáveis por serviços atrativos. Nesse contexto, em consequência, os comportamentos dos navegadores são subconscientemente controlados por sistemas que coletam dados e monitoram a ação de seus usuários, convertendo tais em instrumentos de manipulação para garantir lucros a determinadas empresas e gerar um controle de massas.

A priori, pode-se afirmar que as grandes empresas prestadoras de serviços virtuais, engatados no sistema capitalista, manipulam as ações de seus usuários para atender, unicamente, a fins lucrativos. Nesse sentido, utilizam-se de tecnologias avançadas de monitoramento e controle de dados para, paulatinamente, moldarem os gostos e interesses dos navegadores aos itens mais vantajosos para as corporações. Tal ato, em geral, associa-se à teoria do ""fetichismo da mercadoria"" proposto por Karl Marx, que afirma a valorização da imagem de um objeto em detrimento de sua utilidade, imposta pelas empresas. Logo, os sistemas constroem perspectivas supérfluas em seus usuários para se atraírem por bens mercadorias, manipulando seus comportamentos.

Ademais, o controle de dados individuais na internet pode configurar-se como um instrumento de submissão e difusão de uma inconsciência generalizada entre os navegadores. Isso ocorre quando informações necessárias aos internautas são substituídas por seus gostos pessoais, como forma de preservar os interesses de determinados indivíduos. Prezando-se, então, por manter os usuários em uma menoridade manipulada e evitando-se que tais alcancem sua maioridade através do desenvolvimento pleno de suas consciências, como afirma Kant, instaura-se uma manipulação plena desses indivíduos, que se submetem à imposição da ignorância por meio da dificultaçao do acesso a informações essenciais.

Em suma, o desenvolvimento da tecnologia trouxe, como ponto negativo, a manipulação do comportamento do usuário pelo controle de dados na internet, causado por interesses comerciais de empresas e para fins de controle das massas. Nessa perspectiva, cabe ao ministério da tecnologia regulamentar e fiscalizar o uso de dados individuais por empresas de serviço da internet, através da proposição de novas leis, implantados pelo poder legislativo, que promovam a punição de atos abusivos, como forma de garantir a defesa dos internautas.","[180, 200, 200, 200, 160]",940.0,160,200,160,200,200,920
2022,"Tem índio morando em cima do meu dinheiro.

Devido à ocupação portuguesa que sofreu, o Brasil viu surgir uma sociedade predominantemente eurocêntrica. Isso fez com que este negligenciasse as culturas dos povos estranhos ao Velho Mundo e os povos que as produziam, viviam, conservavam e transmitiam, percebendo-se motivos étnicos e religiosos e econômicos.

Primeiramente, deve-se analisar a composição dos povos que ocuparam o solo do país ao longo dos séculos. Logo ao terem contato com a América, os luso exterminaram centenas de etnias nativas e escravizaram os pertencentes a outras, além dos de africanos, sob a premissa de levar a salvação divina aos povos menos evoluídos. Entretanto, o real objetivo desse genocídio era explorar solos férteis, espécies endêmicas e  metais preciosos a fim de enriquecer o coroa, que liderava o mercantilismo na Europa juntamente com a Espanha. Assim, percebe-se que houve um aparelhamento da metrópole em conjunto com a Igreja Católica, explícito pela atuação da Companhia de Jesus, para dizimar povos de origens alheias.

Além disso, nos séculos XX e XXI, com o aumento populacional global e o constante estímulo ao consumo, mineradores e latifundiários procuraram expandir as áreas sob seu domínio a fim de produzir, vender e, por consequência, lucrar mais. Todavia, com o advento de novas tecnologias da informação e comunicação, os poucos povos tradicionais que tiveram acesso a essas formas de comunicação descentralizadas alertaram a sociedade sobre os atentados que sofriam, o que fez com que essa exigisse das empresas e do Estado medidas reparadoras e preventivas. Contudo, esse comportamento dos economicamente dominantes ainda perdura.

Portanto, o extermínio de comunidades e povos tradicionais do Brasil pode ser relacionado à manutenção do status  quo econômico que impacta uma sociedade de poucas transformações. Para sanar tal prática, o Governo Federal deve, com atuações do IBAMA, da FUNAI e do ICMBio, demarcar as terras dessas populações de maneira efetiva e assegurar a defesa dessas , o que pode ser executado com maior maestria pelos grupamentos de selva do Exército Brasileiro.","[160, 200, 140, 180, 200]",880.0,160,200,160,200,200,920
2023,"De acordo com a Constituição Federal de 1988, todos cidadãos são iguais perante a lei e a sociedade. Todavia, não é isso que acontece na realidade, pelo que, segundo o site Gxjem, grande taxa do Trabalho de Cuidado não pago é assumido por mulheres. Tal fato mostra como a nossa lei quebra esse artigo, porque, como destacado, as mulheres são invisíveis e marginalizadas nesses empregos. Nesse sentido, a problemática apresentada possui origem e consequência: a sociedade patriarcal e a ocultação da mulher como cidadã de direitos, respectivamente.

Sob esse viés, vale ressaltar que a origem desse obstáculo é a nossa sociedade patriarcal. Isso ocorre pois como nossa sociedade foi criada na base do patriarcalismo, conceito que coloca o sexo masculino como superior, as mulheres são desrespeitadas e desvalorizadas como portadoras de direitos. Exemplo disso é a fala do filósofo Friedrich Nietzsche, que diz que o único erro de Deus foi a criação do sexo oposto ao do homem. Diante disso, é nítida, nas falas de Nietzsche, a marginalização do sexo feminino diante a uma sociedade com princípios na superioridade do macho. Então é necessária a ação com palestras para amenizar esse caso.

Por consequência dessa sociedade machista, cria-se um corpo social onde a mulher é ocultada como cidadã de direitos. Esse fato acontece visto que o sexo masculino é posto como centro do universo, deixando o feminino desvalorizado na questão de direitos. Da mesma forma, importante prova disso foi a conquista do voto eleitoral dessa minoria, a qual ocorreu na década de 30, enquanto os homens a possuíam por anos. Logo, é clara a ocultação do sexo feminino como portador de direito, pois as conquistas sociais do sexo masculino, conseguidas séculos atrás, só estão sendo disponíveis para as mulheres na modernidade. Tornando-se inaceitável que tal verdade continue.

Portanto, é nater que o governo venha agir para amenizar o quadro atual. Para impedir a invisibilidade do trabalho de cuidados realizado pela mulher no Brasil, urge que, especificamente, o Estado, órgão responsável pela ordem no país, faça, por meio de fundos monetários, palestras que venham quebrar a versão patriarcal dos homens. As palestras acontecerem em empresas, lugar onde eles se concentram em quantidade, com função de mudar esse pensamento de superioridade. Só assim, será possível respeitar os artigos da Constituição Federal de 1988.","[160, 200, 180, 160, 200]",900.0,160,200,160,200,200,920
